codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
53374;PRLGP;***;AVIÃO;CESSNA AIRCRAFT;210R;***;***;***;1746;1746;NULL;1985;BRASIL;BRASIL;AVIÃO;PARTICULAR;JACAREACANGA;ITAITUBA;CRUZEIRO;PRIVADA;SUBSTANCIAL;0
53375;PRPAZ;***;ANFÍBIO;CESSNA AIRCRAFT;208 ANFIBIO;C208;TURBOÉLICE;MONOMOTOR;3792;3792;10;2004;BRASIL;BRASIL;ANFÍBIO;PARTICULAR;EDUARDO GOMES;EDUARDO GOMES;DECOLAGEM;PRIVADA;SUBSTANCIAL;0
53376;PRITO;***;AVIÃO;CESSNA AIRCRAFT;210D;***;***;***;1406;1406;NULL;1964;BRASIL;BRASIL;AVIÃO;PARTICULAR;AEROPORTO ESTADUAL DE JUNDIAÍ;GENERAL LEITE DE CASTRO;ARREMETIDA NO AR;PRIVADA;DESTRUÍDA;1
53377;PPGUU;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;56-C;PAUL;PISTÃO;MONOMOTOR;660;660;2;1962;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;CARLOS RUHL;CARLOS RUHL;POUSO;INSTRUÇÃO;SUBSTANCIAL;0
53378;PUAKA;EXPERIMENTAL;ULTRALEVE;KAPPA 77;KP-2U-SOVA;ULAC;PISTÃO;MONOMOTOR;480;480;2;2003;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;COMANDANTE ANTONIO AMILTON BERALDO;COMANDANTE ANTONIO AMILTON BERALDO;VOO A BAIXA ALTURA;PRIVADA;SUBSTANCIAL;0
53379;PTZYK;EXPERIMENTAL;AVIÃO;ALBERTO BENEDITO PAULO IRALAH;EXPLORER;ZZZZ;PISTÃO;MONOMOTOR;1200;1200;4;2010;BRASIL;BRASIL;AVIÃO;EXPERIMENTAL;AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS;LEITE LOPES;DESCIDA;PRIVADA;SUBSTANCIAL;0
53380;PUMLD;EXPERIMENTAL;ULTRALEVE;***;CORSARIOMK III;ULAC;PISTÃO;MONOMOTOR;420;420;2;1997;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;MONTENEGRO;MONTENEGRO;DECOLAGEM;PRIVADA;SUBSTANCIAL;0
53381;PUYAN;EXPERIMENTAL;ULTRALEVE;ANTONINO MOTA;KOLBFLYER SS;ULAC;PISTÃO;MONOMOTOR;650;650;2;2011;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;MAJOR BRIGADEIRO DO AR DOORGAL GOMES;DAS BANDEIRINHAS;CRUZEIRO;PRIVADA;SUBSTANCIAL;1
53382;PTJFA;PARTICULAR;AVIÃO;PIPER AIRCRAFT;PA-28R-200;P28R;PISTÃO;MONOMOTOR;1179;1179;4;1973;BRASIL;BRASIL;AVIÃO;PARTICULAR;JARDIM;ESTÂNCIA SANTA MARIA;CRUZEIRO;PRIVADA;SUBSTANCIAL;0
53385;PPMLP;PARTICULAR;AVIÃO;BEECH AIRCRAFT;58;BE58;PISTÃO;BIMOTOR;2449;2449;6;2002;BRASIL;BRASIL;AVIÃO;PARTICULAR;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;GOVERNADOR JOSÉ RICHA;CIRCUITO DE TRÁFEGO;PRIVADA;NENHUM;0
53386;PTOIB;INSTRUÇÃO;AVIÃO;CHINCUL SACAIFI;PA-28-161;P28A;PISTÃO;MONOMOTOR;1107;1107;4;1991;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;CAMPO DE MARTE;SOROCABA;DECOLAGEM;INSTRUÇÃO;LEVE;0
53387;PRCEV;PARTICULAR;AVIÃO;PIPER AIRCRAFT;PA-32R-301T;PA32;PISTÃO;MONOMOTOR;1633;1633;6;2001;BRASIL;BRASIL;AVIÃO;PARTICULAR;GUAXUPÉ;PROFESSOR URBANO ERNESTO STUMPF;POUSO;PRIVADA;LEVE;0
53388;PRSAU;INSTRUÇÃO;AVIÃO;DIAMOND AIRCRAFT;DA20-C1;DV20;PISTÃO;MONOMOTOR;800;800;1;2014;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;SOROCABA;CAMPO DE MARTE;POUSO;INSTRUÇÃO;LEVE;0
53389;PRRME;TÁXI AÉREO;AVIÃO;MITSUBISHI;MU-2B-60;MU2;TURBOÉLICE;BIMOTOR;5250;5250;10;1978;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA;CHEQUE DE MOTOR OU ROTOR;TÁXI AÉREO;LEVE;0
53390;PPMJF;INSTRUÇÃO;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;MONOMOTOR;757;757;2;1977;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;COROA DO AVIÃO;COROA DO AVIÃO;CORRIDA APÓS POUSO;INSTRUÇÃO;NENHUM;0
53391;PTVPB;TÁXI AÉREO;AVIÃO;EMBRAER;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;6;1992;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;MUNICIPAL JOÃO WINCKLER;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;DECOLAGEM;TÁXI AÉREO;NENHUM;0
53392;PROHC;TÁXI AÉREO;HELICÓPTERO;AGUSTA;AW139;A139;TURBOEIXO;BIMOTOR;6800;6800;17;2013;BRASIL;BRASIL;HELICÓPTERO;TÁXI AÉREO;MACAÉ;MACAÉ;DECOLAGEM;TÁXI AÉREO;NENHUM;0
53402;PRAUJ;REGULAR;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;0;BRASIL;BRASIL;AVIÃO;REGULAR;SALGADO FILHO;CONGONHAS;DECOLAGEM;REGULAR;NENHUM;0
53410;PRATE;REGULAR;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;2011;BRASIL;BRASIL;AVIÃO;REGULAR;CORUMBÁ;CAMPO GRANDE;DECOLAGEM;REGULAR;NENHUM;0
53411;PRIOC;REGULAR;AVIÃO;BOEING COMPANY;727-264;B722;JATO;TRIMOTOR;88360;88360;5;1983;BRASIL;BRASIL;AVIÃO;REGULAR;PINTO MARTINS;GOVERNADOR ANDRÉ FRANCO MONTORO;TÁXI;REGULAR;LEVE;0
53412;PRSEO;***;HELICÓPTERO;AGUSTA;AW139;A139;TURBOEIXO;BIMOTOR;6800;6800;14;2009;BRASIL;BRASIL;HELICÓPTERO;TÁXI AÉREO;MACAÉ;FORA DE AERODROMO;CRUZEIRO;TÁXI AÉREO;NENHUM;0
53413;PRNSN;PARTICULAR;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;6;2011;BRASIL;BRASIL;AVIÃO;PARTICULAR;GOVERNADOR JOSÉ RICHA;ESTÂNCIA SANTA MARIA;DECOLAGEM;PRIVADA;NENHUM;0
53416;PTVTG;TÁXI AÉREO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;6;2000;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;BACACHERI;CONGONHAS;TÁXI;TÁXI AÉREO;NENHUM;0
53417;PTRVH;TÁXI AÉREO;AVIÃO;EMBRAER;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;7;1984;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;TEIXEIRA DE FREITAS;DEPUTADO LUÍS EDUARDO MAGALHÃES;POUSO;TÁXI AÉREO;NENHUM;0
53418;PUJCA;EXPERIMENTAL;ULTRALEVE;***;P 92 ECHO;ULAC;PISTÃO;MONOMOTOR;499;499;2;1998;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;BRIGADEIRO CABRAL;BRIGADEIRO CABRAL;DECOLAGEM;PRIVADA;DESTRUÍDA;1
53419;PUAJI;EXPERIMENTAL;ULTRALEVE;***;PARADISE;ULAC;PISTÃO;MONOMOTOR;720;720;2;2007;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;ESTADUAL ARTHUR SIQUEIRA;ESTADUAL ARTHUR SIQUEIRA;POUSO;PRIVADA;SUBSTANCIAL;0
53420;PTWTM;TÁXI AÉREO;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;6;1976;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FLORES;COARI;CORRIDA APÓS POUSO;TÁXI AÉREO;NENHUM;0
53421;PRTMV;INSTRUÇÃO;HELICÓPTERO;ROBINSON HELICOPTER;R22 BETA;R22;PISTÃO;MONOMOTOR;621;621;2;2007;BRASIL;BRASIL;HELICÓPTERO;INSTRUÇÃO;CAMPO DE MARTE;CAMPO DE MARTE;POUSO;INSTRUÇÃO;NENHUM;0
53422;PPEJP;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-721C;P32R;PISTÃO;MONOMOTOR;1633;1633;6;1976;BRASIL;BRASIL;AVIÃO;ADMINISTRAÇÃO DIRETA;GOVERNADOR ANDRÉ FRANCO MONTORO;SANTA GENOVEVA/GOIÂNIA;POUSO;TÁXI AÉREO;NENHUM;0
53423;PTKKL;***;AVIÃO;CESSNA AIRCRAFT;182P;C182;PISTÃO;MONOMOTOR;1338;1338;4;1974;BRASIL;BRASIL;AVIÃO;PARTICULAR;JOÃO DURVAL CARNEIRO;AEROCLUBE DE ARACAJU;POUSO;PRIVADA;SUBSTANCIAL;0
53424;PRATR;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;2011;BRASIL;BRASIL;AVIÃO;REGULAR;AFONSO PENA;LAURO KURTZ;DECOLAGEM;REGULAR;LEVE;0
53426;PRSTW;***;AVIÃO;BEECH AIRCRAFT;C17L;BE17;PISTÃO;MONOMOTOR;1430;1430;4;1936;BRASIL;BRASIL;AVIÃO;PARTICULAR;DR. JOSÉ DE ARRUDA BOTELHO;AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL;0
53427;PTOQW;***;AVIÃO;CHINCUL SACAIFI;PA-25-260;PA25;PISTÃO;MONOMOTOR;1315;1315;1;1992;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;AGRÍCOLA;SUBSTANCIAL;0
53428;PPGOB;***;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2;1993;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;AERÓDROMO NACIONAL DE AVIAÇÃO;AERÓDROMO NACIONAL DE AVIAÇÃO;POUSO;INSTRUÇÃO;LEVE;0
53430;PRGGD;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;197;2008;BRASIL;BRASIL;AVIÃO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;MARECHAL RONDON;DESCIDA;REGULAR;NENHUM;0
53431;PUOVC;EXPERIMENTAL;ULTRALEVE;***;PELICAN 500BR;ULAC;PISTÃO;MONOMOTOR;480;480;2;2002;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;VOO A BAIXA ALTURA;PRIVADA;DESTRUÍDA;2
53432;PPNPT;PARTICULAR;AVIÃO;PIPER AIRCRAFT;PA-31T1;PAY1;TURBOÉLICE;BIMOTOR;3946;3946;6;1980;BRASIL;BRASIL;AVIÃO;PARTICULAR;TENENTE-CORONEL AVIADOR CÉSAR BOMBONATO;LAVRAS;DESCIDA;PRIVADA;LEVE;0
53433;PTIKF;***;AVIÃO;PIPER AIRCRAFT;PA-28R-200;P28R;PISTÃO;MONOMOTOR;1179;1179;4;1973;BRASIL;BRASIL;AVIÃO;PARTICULAR;POUSADA DAS ÁGUIAS;POUSADA DAS ÁGUIAS;APROXIMAÇÃO FINAL;PRIVADA;SUBSTANCIAL;0
53434;PREJI;***;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;MONOMOTOR;759;759;2;1980;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;AEROPORTO ESTADUAL DE JUNDIAÍ;AEROPORTO ESTADUAL DE JUNDIAÍ;ARREMETIDA NO SOLO;INSTRUÇÃO;SUBSTANCIAL;0
53435;PTULO;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-202;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;1998;BRASIL;BRASIL;AVIÃO;PARTICULAR;FAZENDA SMITH;FAZENDA MURARÁ;VOO A BAIXA ALTURA;PRIVADA;SUBSTANCIAL;0
53436;PPGTG;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;56-C;PAUL;PISTÃO;MONOMOTOR;660;660;2;1961;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;AEROCLUBE DE ITÁPOLIS;AEROCLUBE DE ITÁPOLIS;POUSO;INSTRUÇÃO;SUBSTANCIAL;0
53437;PTGGW;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-201;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;1976;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;AGRÍCOLA;SUBSTANCIAL;0
53438;PTYLD;***;HELICÓPTERO;BELL HELICOPTER;206B;B06;TURBOEIXO;MONOMOTOR;1451;1451;5;1995;BRASIL;BRASIL;HELICÓPTERO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;RETA FINAL;PRIVADA;SUBSTANCIAL;0
53440;PRAZC;REGULAR;AVIÃO;EMBRAER;ERJ 190-100 IGW;E190;JATO;BIMOTOR;51800;51800;112;2008;BRASIL;BRASIL;AVIÃO;REGULAR;SANTA GENOVEVA/GOIÂNIA;TANCREDO NEVES;CRUZEIRO;REGULAR;NENHUM;0
53441;PTZPW;EXPERIMENTAL;AVIÃO;PARADISE INDUSTRIA AERONAUTICA LTDA;PARADISE P4;ZZZZ;PISTÃO;MONOMOTOR;1200;1200;4;2013;BRASIL;BRASIL;AVIÃO;EXPERIMENTAL;VITÓRIA DA CONQUISTA;BAHIA - JORGE AMADO;ESTACIONAMENTO;PRIVADA;LEVE;0
53442;PTIXF;TÁXI AÉREO;AVIÃO;BEECH AIRCRAFT;A36;BE36;PISTÃO;MONOMOTOR;1633;1633;6;1973;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;MONTE ALEGRE;MAESTRO WILSON FONSECA;POUSO;TÁXI AÉREO;NENHUM;0
53449;PPEUE;PARTICULAR;AVIÃO;BEECH AIRCRAFT;B90;BE9L;TURBOÉLICE;BIMOTOR;4377;4377;8;1968;BRASIL;BRASIL;AVIÃO;PARTICULAR;BACACHERI;MINISTRO VICTOR KONDER;INDETERMINADA;PRIVADA;NENHUM;0
53450;PTJSQ;INSTRUÇÃO;AVIÃO;PIPER AIRCRAFT;PA-34-200;PA34;PISTÃO;BIMOTOR;1814;1814;7;1974;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;CABO FRIO;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
53451;PRSKJ;INSTRUÇÃO;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;7;1984;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;AEROPORTO ESTADUAL DE JUNDIAÍ;AEROPORTO ESTADUAL DE JUNDIAÍ;POUSO;INSTRUÇÃO;LEVE;0
53452;PRBIS;PARTICULAR;AVIÃO;BEECH AIRCRAFT;B35;BE35;PISTÃO;MONOMOTOR;1202;1202;4;1950;BRASIL;BRASIL;AVIÃO;PARTICULAR;CLUBE DE AVIAÇÃO EXPERIMENTAL DO PARANÁ;GOVERNADOR JOSÉ RICHA;APROXIMAÇÃO FINAL;PRIVADA;NENHUM;0
53453;PRSHF;PARTICULAR;HELICÓPTERO;EUROCOPTER FRANCE;EC 130 B4;EC30;TURBOEIXO;MONOMOTOR;2427;2427;7;2004;BRASIL;BRASIL;HELICÓPTERO;PARTICULAR;MBP - METALÚRGICA BARRA DO PIRAÍ;SANTOS DUMONT;CRUZEIRO;PRIVADA;LEVE;0
53454;PTEQV;INSTRUÇÃO;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;6;1977;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;BACACHERI;BACACHERI;CORRIDA APÓS POUSO;INSTRUÇÃO;LEVE;0
53455;PRSDU;NÃO REGULAR;AVIÃO;BOEING COMPANY;737-4B6;B734;JATO;BIMOTOR;68038;68038;0;0;BRASIL;BRASIL;AVIÃO;NÃO REGULAR;SENADOR PETRÔNIO PORTELLA;GOVERNADOR ANDRÉ FRANCO MONTORO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
53462;PTAPY;***;AVIÃO;CESSNA AIRCRAFT;170B;C170;PISTÃO;MONOMOTOR;998;998;4;1956;BRASIL;BRASIL;AVIÃO;PARTICULAR;CMT. MARILDA ZAIDEN DE MESQUITA;PELOTAS;POUSO;PRIVADA;SUBSTANCIAL;0
53463;PTWHY;***;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;MONOMOTOR;1905;1905;1;1978;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;RIO BRILHANTE;SÍTIO SANTA HELENA;ESPECIALIZADA;AGRÍCOLA;SUBSTANCIAL;0
53465;PUTDT;EXPERIMENTAL;ULTRALEVE;TRIKE ICAROS LTDA;ADVENTURE;ULAC;PISTÃO;MONOMOTOR;450;450;1;0;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;PRIVADA;SUBSTANCIAL;1
53466;PRWTW;***;AVIÃO;PIPER AIRCRAFT;PA-32R-301T;PA32;PISTÃO;MONOMOTOR;1633;1633;6;2003;BRASIL;BRASIL;AVIÃO;PARTICULAR;AERÓDROMO NACIONAL DE AVIAÇÃO;AERÓDROMO NACIONAL DE AVIAÇÃO;POUSO;PRIVADA;SUBSTANCIAL;0
53467;PTYRT;***;HELICÓPTERO;ROBINSON HELICOPTER;R44;R44;PISTÃO;MONOMOTOR;1089;1089;3;1999;BRASIL;BRASIL;HELICÓPTERO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;VOO A BAIXA ALTURA;PRIVADA;***;0
53468;PRTCC;***;AVIÃO;CESSNA AIRCRAFT;T210N;C210;PISTÃO;MONOMOTOR;1814;1814;6;1980;BRASIL;BRASIL;AVIÃO;PARTICULAR;EVERALDO MORAES BARRETO;EVERALDO MORAES BARRETO;CRUZEIRO;PRIVADA;SUBSTANCIAL;0
53469;PTEPD;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-721C;P32R;PISTÃO;MONOMOTOR;1633;1633;7;1977;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;OURILÂNDIA DO NORTE;FORA DE AERODROMO;CRUZEIRO;TÁXI AÉREO;SUBSTANCIAL;2
53470;PUXXX2;EXPERIMENTAL;ULTRALEVE;***;***;***;***;***;0;0;NULL;2015;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;COSTA ESMERALDA;COSTA ESMERALDA;DECOLAGEM;PRIVADA;DESTRUÍDA;1
53471;PRECK;***;AVIÃO;CESSNA AIRCRAFT;172N;C172;PISTÃO;MONOMOTOR;1043;1043;4;1976;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;CARLOS PRATES;CARLOS PRATES;TÁXI;INSTRUÇÃO;LEVE;0
53472;PUXXX3;EXPERIMENTAL;TRIKE;***;***;***;***;***;450;450;NULL;2015;BRASIL;BRASIL;TRIKE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;PRIVADA;SUBSTANCIAL;1
53473;PUXXX4;EXPERIMENTAL;ULTRALEVE;***;***;***;***;***;400;400;NULL;2000;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;MIRASSOL;MIRASSOL;CRUZEIRO;PRIVADA;SUBSTANCIAL;1
53474;PUIPF;EXPERIMENTAL;***;***;***;***;***;SEM TRAÇÃO;0;0;0;0;BRASIL;BRASIL;***;EXPERIMENTAL;FORA DE AERODROMO;BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA;CRUZEIRO;PRIVADA;SUBSTANCIAL;0
53475;PRSKJ;INSTRUÇÃO;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;7;1984;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;AEROPORTO ESTADUAL DE JUNDIAÍ;AEROPORTO ESTADUAL DE JUNDIAÍ;TÁXI;INSTRUÇÃO;NENHUM;0
53476;PRFLD;INSTRUÇÃO;AVIÃO;CESSNA AIRCRAFT;152;C152;***;SEM TRAÇÃO;760;760;0;1979;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;SALGADO FILHO;HERCÍLIO LUZ;CORRIDA APÓS POUSO;INSTRUÇÃO;LEVE;0
53477;PTRAC;***;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;6;1980;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;PRIVADA;SUBSTANCIAL;0
53478;PTWNG;TÁXI AÉREO;AVIÃO;PIPER AIRCRAFT;PA-31T2;PAY2;TURBOÉLICE;BIMOTOR;4297;4297;8;1982;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;RONDONÓPOLIS;FORA DE AERODROMO;DECOLAGEM;TÁXI AÉREO;NENHUM;0
53480;PRAYZ;REGULAR;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2011;BRASIL;BRASIL;AVIÃO;REGULAR;TANCREDO NEVES;CARAJÁS;DECOLAGEM;REGULAR;NENHUM;0
53481;PROND;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A318-121;A318;JATO;BIMOTOR;63000;63000;129;2008;BRASIL;BRASIL;AVIÃO;REGULAR;GUARARAPES - GILBERTO FREYRE;GUARARAPES - GILBERTO FREYRE;CRUZEIRO;REGULAR;NENHUM;0
53482;PURVZ;EXPERIMENTAL;ULTRALEVE;***;RV-9A;ULAC;PISTÃO;MONOMOTOR;750;750;2;2007;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;PIRENÓPOLIS;PIRENÓPOLIS;MANOBRA;PRIVADA;DESTRUÍDA;2
53483;PRSKJ;INSTRUÇÃO;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;7;1984;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;BAURU;AEROPORTO ESTADUAL DE JUNDIAÍ;POUSO;INSTRUÇÃO;LEVE;0
53484;PUTOF;EXPERIMENTAL;***;***;***;***;***;SEM TRAÇÃO;208;208;0;2008;BRASIL;BRASIL;***;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;PRIVADA;SUBSTANCIAL;0
53485;PRSOR;***;AVIÃO;AEROMOT;AMT-200SO;RF10;PISTÃO;MONOMOTOR;1050;1050;2;2007;BRASIL;BRASIL;AVIÃO;ESPECIALIZADA;CASA BRANCA;CASA BRANCA;ESPECIALIZADA;ESPECIALIZADA;SUBSTANCIAL;0
53486;PTWSV;***;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;6;1997;BRASIL;BRASIL;AVIÃO;PARTICULAR;J LEM;SANTA GENOVEVA/GOIÂNIA;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL;0
53487;PPAAM;***;AVIÃO;PIPER AIRCRAFT;PA-46-350P;PA46;PISTÃO;MONOMOTOR;1950;1950;6;2009;BRASIL;BRASIL;AVIÃO;PARTICULAR;ABA;SANTA RITA DE CÁSSIA;POUSO;PRIVADA;SUBSTANCIAL;0
53488;PPELA;***;HELICÓPTERO;BELL HELICOPTER;206L-3;B06;TURBOEIXO;MONOMOTOR;1882;1882;7;1991;BRASIL;BRASIL;HELICÓPTERO;ADMINISTRAÇÃO DIRETA;ZUMBI DOS PALMARES;ZUMBI DOS PALMARES;ARREMETIDA NO AR;POLICIAL;DESTRUÍDA;4
53489;PRFMP;***;AVIÃO;CESSNA AIRCRAFT;210K;C210;PISTÃO;MONOMOTOR;1724;1724;6;1970;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;JACAREACANGA;POUSO;PRIVADA;SUBSTANCIAL;0
53490;PPPTP;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;22500;22500;73;2009;BRASIL;BRASIL;AVIÃO;REGULAR;BARREIRAS;DEPUTADO LUÍS EDUARDO MAGALHÃES;CRUZEIRO;REGULAR;LEVE;0
53491;PTVCA;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-720D;PA32;PISTÃO;MONOMOTOR;1633;1633;7;1986;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;NOVO CAMPO;PAUINI;CRUZEIRO;TÁXI AÉREO;SUBSTANCIAL;0
53492;PRGGN;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;70533;70533;197;2009;BRASIL;BRASIL;AVIÃO;REGULAR;VAL DE CANS / JÚLIO CEZAR RIBEIRO;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;LEVE;0
53493;PPPTM;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;22500;22500;73;2008;BRASIL;BRASIL;AVIÃO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;LEITE LOPES;DECOLAGEM;REGULAR;LEVE;0
53494;PTNNZ;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-711C;P28R;PISTÃO;MONOMOTOR;1202;1202;4;1977;BRASIL;BRASIL;AVIÃO;PARTICULAR;AERÓDROMO NACIONAL DE AVIAÇÃO;AERÓDROMO NACIONAL DE AVIAÇÃO;POUSO;PRIVADA;SUBSTANCIAL;0
53495;PTPRA;***;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;MONOMOTOR;757;757;2;1978;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;MARECHAL RONDON;MARECHAL RONDON;CORRIDA APÓS POUSO;INSTRUÇÃO;SUBSTANCIAL;0
53496;PTVAU;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;6;1986;BRASIL;BRASIL;AVIÃO;PARTICULAR;SANTA GENOVEVA/GOIÂNIA;JATAÍ;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL;0
